id,guid,userId,title,videourl,imgurl,cate,playcount,attcount,commentcount,status,videoStatus,insertTime,dealTime,iP,tag,isAsyn,totalTimes,isDel,isShow,intro,width,height,minImgurl,source
13977,83a93151-2889-11e8-9d83-525400ccac43,89023,黄宇翔 vs 斯里坎特 2018全英公开赛男单1/8决赛,http://1252040487.vod2.myqcloud.com/8bdce988vodtransgzp1252040487/6bcd529b7447398155063599944/v.f30.mp4?t=5ba0cdf7&us=15913&sign=291d736dbd838d5ae4ff30b2992a5cc5,http://1252040487.vod2.myqcloud.com/8bdce988vodtransgzp1252040487/6bcd529b7447398155063599944/snapshot/1521143159_4231061289.100_892500.jpg,体育视频 羽毛球,1597,0,0,1,1,1521143171,1521143171,210.12.138.115,全英公开赛 黄宇翔 羽毛球,0,2975,0,1,,0,0,/uploads/new_upload/video/13977/1521143159_4231061289_min.100_892500_min.jpg,0
13976,16e7e0c9-2888-11e8-9d83-525400ccac43,89023,伍家朗 vs 西本拳太 2018全英公开赛 男单1/8决赛,http://1252040487.vod2.myqcloud.com/8bdce988vodtransgzp1252040487/7b52868f7447398155060167548/v.f30.mp4?t=5ba0cdf7&us=28251&sign=8f756288d3691b31f4344c556222629d,http://1252040487.vod2.myqcloud.com/8bdce988vodtransgzp1252040487/7b52868f7447398155060167548/snapshot/1521142163_4277146291.100_891900.jpg,体育视频 羽毛球,2048,1,0,1,1,1521142559,1521142559,210.12.138.115,伍家朗 西本拳太 全英公开赛 羽毛球,0,2973,0,1,,0,0,/uploads/new_upload/video/13976/1521142163_4277146291_min.100_891900_min.jpg,0
13975,acdd46ab-2880-11e8-9d83-525400ccac43,1586725,2018年全英公开赛女单1/8决赛,http://1252040487.vod2.myqcloud.com/8bdce988vodtransgzp1252040487/6b5e858b7447398155063535740/v.f30.mp4?t=5ba0cdf7&us=66300&sign=ac569ab3fe47ddd9d6689e20f86dd292,http://1252040487.vod2.myqcloud.com/8bdce988vodtransgzp1252040487/6b5e858b7447398155063535740/snapshot/1521139336_2905878980.100_748500.jpg,体育视频 羽毛球,10080,9,0,1,1,1521139375,1521139375,171.217.92.46,,0,2495,0,1,,0,0,/uploads/new_upload/video/13975/1521139336_2905878980_min.100_748500_min.jpg,0
13974,b0419c63-287f-11e8-9d83-525400ccac43,89023,戴资颖 vs 布桑兰 2018全英公开赛 女单1/8决赛,http://1252040487.vod2.myqcloud.com/8bdce988vodtransgzp1252040487/6bca08dd7447398155063593988/v.f30.mp4?t=5ba0cdf7&us=35777&sign=d378dce94299cd37321c1595f2c5cfe3,http://1252040487.vod2.myqcloud.com/8bdce988vodtransgzp1252040487/6bca08dd7447398155063593988/snapshot/1521138877_127483230.100_738600.jpg,体育视频 羽毛球,2591,0,0,1,1,1521138951,1521138951,210.12.138.115,戴资颖 布桑兰 全英公开赛 羽毛球,0,2462,0,1,,0,0,/uploads/new_upload/video/13974/1521138877_127483230_min.100_738600_min.jpg,0
13973,35e9d656-287a-11e8-9d83-525400ccac43,89023,爱德考克/加布里 vs 徐承宰/金荷娜 2018全英公开赛 混双1/8决赛,http://1252040487.vod2.myqcloud.com/8bdce988vodtransgzp1252040487/0495dee97447398155058721521/v.f30.mp4?t=5ba0cdf7&us=23778&sign=33b26be79cc0b9f145fd21fe22499abb,http://1252040487.vod2.myqcloud.com/8bdce988vodtransgzp1252040487/0495dee97447398155058721521/snapshot/1521136106_1468063495.100_877800.jpg,体育视频 羽毛球,1632,1,0,1,1,1521136599,1521136599,210.12.138.115,爱德考克/加布里 徐承宰/金荷娜 全英公开赛 羽毛球,0,2926,0,1,,0,0,/uploads/new_upload/video/13973/1521136106_1468063495_min.100_877800_min.jpg,0
13972,017cbbd0-2877-11e8-9d83-525400ccac43,1586725,2018年全英公开赛女单1/8决赛,http://1252040487.vod2.myqcloud.com/8bdce988vodtransgzp1252040487/696232b57447398155063482776/v.f30.mp4?t=5ba0cdf7&us=88792&sign=43f0be02ff6533b531da4a79f7750ca5,http://1252040487.vod2.myqcloud.com/8bdce988vodtransgzp1252040487/696232b57447398155063482776/snapshot/1521134808_3319142960.100_711600.jpg,体育视频 羽毛球,1698,0,0,1,1,1521135222,1521135222,171.217.92.46,,0,2372,0,1,,0,0,/uploads/new_upload/video/13972/1521134808_3319142960_min.100_711600_min.jpg,0
13968,5ec1bee0-2872-11e8-9d83-525400ccac43,1586725,2018年全英公开赛男单1/8决赛,http://1252040487.vod2.myqcloud.com/8bdce988vodtransgzp1252040487/025239a87447398155058630305/v.f30.mp4?t=5ba0cdf7&us=48110&sign=dd58913c12acd563a5d31ece23de0c53,http://1252040487.vod2.myqcloud.com/8bdce988vodtransgzp1252040487/025239a87447398155058630305/snapshot/1521133208_3630347668.100_1227900.jpg,体育视频 羽毛球,26028,25,0,1,1,1521133231,1521133231,171.217.92.46,,0,4094,0,1,,0,0,/uploads/new_upload/video/13968/1521133208_3630347668_min.100_1227900_min.jpg,0
13967,5bae5f12-2872-11e8-9d83-525400ccac43,89023,李东根 vs 李宗伟 2018全英公开赛 男单1/8决赛,http://1252040487.vod2.myqcloud.com/8bdce988vodtransgzp1252040487/541ecb377447398155059857218/v.f30.mp4?t=5ba0cdf7&us=22530&sign=cb861ea079092bad1b6e097cebe92089,http://1252040487.vod2.myqcloud.com/8bdce988vodtransgzp1252040487/541ecb377447398155059857218/snapshot/1521133121_254228141.100_1202700.jpg,体育视频 羽毛球,2534,1,0,1,1,1521133226,1521133226,210.12.138.115,李东根 李宗伟 全英公开赛 羽毛球,0,4009,0,1,,0,0,/uploads/new_upload/video/13967/1521133121_254228141_min.100_1202700_min.jpg,0
13966,e77c8993-286e-11e8-9d83-525400ccac43,1586725,2018年全英公开赛女单1/8决赛,http://1252040487.vod2.myqcloud.com/8bdce988vodtransgzp1252040487/51fcbf9a7447398155059781918/v.f30.mp4?t=5ba0cdf7&us=82322&sign=c803b3308450613454956bc884dfa6a9,http://1252040487.vod2.myqcloud.com/8bdce988vodtransgzp1252040487/51fcbf9a7447398155059781918/snapshot/1521131705_265690905.100_658800.jpg,体育视频 羽毛球,1291,0,0,1,1,1521131742,1521131742,171.217.92.46,,0,2196,0,1,,0,0,/uploads/new_upload/video/13966/1521131705_265690905_min.100_658800_min.jpg,0
13963,cfcbe5b7-2869-11e8-9d83-525400ccac43,1586725,2018年全英公开赛男单1/8决赛,http://1252040487.vod2.myqcloud.com/8bdce988vodtransgzp1252040487/60225a137447398155063097493/v.f30.mp4?t=5ba0cdf7&us=01738&sign=b3473a267cc86a613ab8677fe8a02112,http://1252040487.vod2.myqcloud.com/8bdce988vodtransgzp1252040487/60225a137447398155063097493/snapshot/1521129455_487898908.100_609600.jpg,体育视频 羽毛球,2204,3,0,1,1,1521129555,1521129555,171.217.92.46,,0,2032,0,1,,0,0,/uploads/new_upload/video/13963/1521129455_487898908_min.100_609600_min.jpg,0
13961,39d8e8e3-2869-11e8-9d83-525400ccac43,1586725,2018年全英公开赛男单1/8决赛,http://1252040487.vod2.myqcloud.com/8bdce988vodtransgzp1252040487/4cd803f17447398155059519127/v.f30.mp4?t=5ba0cdf7&us=86654&sign=ef4fcfb427fd00dd0933cba1830dc972,http://1252040487.vod2.myqcloud.com/8bdce988vodtransgzp1252040487/4cd803f17447398155059519127/snapshot/1521129096_2878806453.100_133500.jpg,体育视频 羽毛球,20276,6,0,1,1,1521129304,1521129304,171.217.92.46,,0,446,0,1,,0,0,/uploads/new_upload/video/13961/1521129096_2878806453_min.100_133500_min.jpg,0
13960,1eb04c6d-2868-11e8-9d83-525400ccac43,1586725,2018年全英公开赛男双1/8决赛,http://1252040487.vod2.myqcloud.com/8bdce988vodtransgzp1252040487/4a9015237447398155059420500/v.f30.mp4?t=5ba0cdf7&us=10359&sign=d37e442f9590e46f08e1650a8fa43d4a,http://1252040487.vod2.myqcloud.com/8bdce988vodtransgzp1252040487/4a9015237447398155059420500/snapshot/1521128725_781030489.100_577200.jpg,体育视频 羽毛球,1430,3,0,1,1,1521128829,1521128829,171.217.92.46,,0,1924,0,1,,0,0,/uploads/new_upload/video/13960/1521128725_781030489_min.100_577200_min.jpg,0
13959,c2eba524-2867-11e8-9d83-525400ccac43,89023,李俊慧/刘雨辰 vs 索伦森/安德斯 2018全英公开赛 男双1/8决赛,http://1252040487.vod2.myqcloud.com/8bdce988vodtransgzp1252040487/fb1fbd6b7447398155058306290/v.f30.mp4?t=5ba0cdf7&us=18352&sign=b7b20c333babbd62512dcd435ba0ed9c,http://1252040487.vod2.myqcloud.com/8bdce988vodtransgzp1252040487/fb1fbd6b7447398155058306290/snapshot/1521128611_4079006914.100_933300.jpg,体育视频 羽毛球,3435,4,0,1,1,1521128675,1521128675,210.12.138.115,李俊慧/刘雨辰 索伦森/安德斯 全英公开赛 羽毛球,0,3111,0,1,,0,0,/uploads/new_upload/video/13959/1521128611_4079006914_min.100_933300_min.jpg,0
13958,909c843a-2862-11e8-9d83-525400ccac43,1586725,2018年全英公开赛女单1/8决赛,http://1252040487.vod2.myqcloud.com/8bdce988vodtransgzp1252040487/b7c421577447398155057749058/v.f30.mp4?t=5ba0cdf7&us=03357&sign=49c694f9703a512c3b88b94f5f229207,http://1252040487.vod2.myqcloud.com/8bdce988vodtransgzp1252040487/b7c421577447398155057749058/snapshot/1521126025_2468395286.100_1229400.jpg,体育视频 羽毛球,1510,0,0,1,1,1521126443,1521126443,171.217.92.46,,0,4099,0,1,,0,0,/uploads/new_upload/video/13958/1521126025_2468395286_min.100_1229400_min.jpg,0
13957,69f5b392-2860-11e8-9d83-525400ccac43,89023,金达蓬 vs 辛德胡 2018全英公开赛 女单1/8决赛,http://1252040487.vod2.myqcloud.com/8bdce988vodtransgzp1252040487/029c41f37447398155058673390/v.f30.mp4?t=5ba0cdf7&us=36444&sign=846a8fa8fc43144aada3cff5d58f0e63,http://1252040487.vod2.myqcloud.com/8bdce988vodtransgzp1252040487/029c41f37447398155058673390/snapshot/1521125377_379851403.100_1289400.jpg,体育视频 羽毛球,764,0,0,1,1,1521125519,1521125519,210.12.138.115,金达蓬 辛德胡 全英公开赛 羽毛球,0,4298,0,1,,0,0,/uploads/new_upload/video/13957/1521125377_379851403_min.100_1289400_min.jpg,0
13948,6d85cdf3-2855-11e8-9d83-525400ccac43,89023,埃利斯/史密斯 vs 乔丹/苏珊托 2018全英公开赛 混双1/8决赛,http://1252040487.vod2.myqcloud.com/8bdce988vodtransgzp1252040487/5d2570167447398155056199194/v.f30.mp4?t=5ba0cdf7&us=80442&sign=5714941404b6671e92435e6eb0ee094d,http://1252040487.vod2.myqcloud.com/8bdce988vodtransgzp1252040487/5d2570167447398155056199194/snapshot/1521120778_193597876.100_684600.jpg,体育视频 羽毛球,853,1,0,1,1,1521120800,1521120800,210.12.138.115,埃利斯/史密斯 乔丹/苏珊托 全英公开赛 羽毛球,0,2282,0,1,,0,0,/uploads/new_upload/video/13948/1521120778_193597876_min.100_684600_min.jpg,0
13947,9e7870d4-2853-11e8-9d83-525400ccac43,1586725,2018年全英公开赛混双1/8决赛,http://1252040487.vod2.myqcloud.com/8bdce988vodtransgzp1252040487/6afd8e187447398155056774764/v.f30.mp4?t=5ba0cdf7&us=07770&sign=72f799d22ab7af7b144886bba62a13fb,http://1252040487.vod2.myqcloud.com/8bdce988vodtransgzp1252040487/6afd8e187447398155056774764/snapshot/1521120010_4127369540.100_900300.jpg,体育视频 羽毛球,7650,4,0,1,1,1521120024,1521120024,171.217.92.46,,0,3001,0,1,,0,0,/uploads/new_upload/video/13947/1521120010_4127369540_min.100_900300_min.jpg,0
13945,d3949c19-284f-11e8-9d83-525400ccac43,89023,哈里斯/普拉蒂普塔 vs 松友美佐纪/高桥礼华 2018全英公开赛 女双1/8决赛,http://1252040487.vod2.myqcloud.com/8bdce988vodtransgzp1252040487/1224c3e87447398155055247052/v.f30.mp4?t=5ba0cdf7&us=73133&sign=cd1ec9b659a5525123271b6b5e6523bb,http://1252040487.vod2.myqcloud.com/8bdce988vodtransgzp1252040487/1224c3e87447398155055247052/snapshot/1521118385_1208049351.100_847800.jpg,体育视频 羽毛球,1523,2,0,1,1,1521118395,1521118395,210.12.138.115,哈里斯/普拉蒂普塔 松友美佐纪/高桥礼华 全英公开赛 羽毛球,0,2826,0,1,,0,0,/uploads/new_upload/video/13945/1521118385_1208049351_min.100_847800_min.jpg,0
13871,fab9c85d-27d9-11e8-9d83-525400ccac43,89023,远藤大由/渡边勇大 vs 基丁柳蓬/德差波尔 2018全英公开赛 男双1/16决赛,http://1252040487.vod2.myqcloud.com/8bdce988vodtransgzp1252040487/0a3306027447398155048105141/v.f30.mp4?t=5ba0cdf7&us=45583&sign=8bd081b2765a6b200b19180f76b88513,http://1252040487.vod2.myqcloud.com/8bdce988vodtransgzp1252040487/0a3306027447398155048105141/snapshot/1521067775_2199231896.100_712200.jpg,体育视频 羽毛球,618,0,0,1,1,1521067780,1521067780,210.12.138.115,远藤大由/渡边勇大  基丁柳蓬/德差波尔 全英公开赛 羽毛球,0,2374,0,1,,0,0,/uploads/new_upload/video/13871/1521067775_2199231896_min.100_712200_min.jpg,0
13870,7d2669a7-27d3-11e8-9d83-525400ccac43,89023,王齐麟/李嘉新 vs 徐承宰/金荷娜 2018全英公开赛 混双1/16决赛,http://1252040487.vod2.myqcloud.com/8bdce988vodtransgzp1252040487/28f0e18f7447398155052153579/v.f30.mp4?t=5ba0cdf8&us=66776&sign=72394a7f9b17e002d3dd34d05f0a5bba,http://1252040487.vod2.myqcloud.com/8bdce988vodtransgzp1252040487/28f0e18f7447398155052153579/snapshot/1521064845_2801842006.100_1086000.jpg,体育视频 羽毛球,866,0,0,1,1,1521064992,1521064992,210.12.138.115,王齐麟/李嘉新 徐承宰/金荷娜 全英公开赛 羽毛球,0,3620,0,1,,0,0,/uploads/new_upload/video/13870/1521064845_2801842006_min.100_1086000_min.jpg,0
13869,82620efc-27ca-11e8-9d83-525400ccac43,89023,菲迪亚尼 vs 谢抒芽 2018全英公开赛 女单1/16决赛,http://1252040487.vod2.myqcloud.com/8bdce988vodtransgzp1252040487/6812ab797447398155049886057/v.f30.mp4?t=5ba0cdf8&us=89211&sign=b88654ee1a3d93094ffbeda485432eff,http://1252040487.vod2.myqcloud.com/8bdce988vodtransgzp1252040487/6812ab797447398155049886057/snapshot/1521061134_1484583875.100_1151400.jpg,体育视频 羽毛球,611,0,0,1,1,1521061135,1521061135,210.12.138.115,菲迪亚尼 谢抒芽 全英公开赛 羽毛球,0,3838,0,1,,0,0,/uploads/new_upload/video/13869/1521061134_1484583875_min.100_1151400_min.jpg,0
13868,0b55fd06-27c1-11e8-9d83-525400ccac43,89023,安东森 vs 李炫一 2018全英公开赛 男单1/16决赛,http://1252040487.vod2.myqcloud.com/8bdce988vodtransgzp1252040487/26d0e5697447398155052081474/v.f30.mp4?t=5ba0cdf8&us=16648&sign=15898c92c12df651138e59e118254e78,http://1252040487.vod2.myqcloud.com/8bdce988vodtransgzp1252040487/26d0e5697447398155052081474/snapshot/1521057023_2811913136.100_865500.jpg,体育视频 羽毛球,869,0,0,1,1,1521057070,1521057070,210.12.138.115,安东森 李炫一  全英公开赛 羽毛球,0,2885,0,1,,0,0,/uploads/new_upload/video/13868/1521057023_2811913136_min.100_865500_min.jpg,0
13867,04aabf98-27ba-11e8-9d83-525400ccac43,89023,谌龙 vs 乔斌 2018全英公开赛 男单1/16决赛,http://1252040487.vod2.myqcloud.com/8bdce988vodtransgzp1252040487/cb4b7b2f7447398155047718181/v.f30.mp4?t=5ba0cdf8&us=68844&sign=b2d72441004ed16e528ce2eed3ae2634,http://1252040487.vod2.myqcloud.com/8bdce988vodtransgzp1252040487/cb4b7b2f7447398155047718181/snapshot/1521054051_3077003746.100_609900.jpg,体育视频 羽毛球,7227,5,0,1,1,1521054053,1521054053,219.234.131.210,谌龙  乔斌 全英公开赛 羽毛球,0,2033,0,1,,0,0,/uploads/new_upload/video/13867/1521054051_3077003746_min.100_609900_min.jpg,0
